Dataset,Method,Status,Accuracy,Precision,Recall,Macro_F1,Micro_F1,NMI,ARI,pairwise_precision,pairwise_recall,pairwise_f1
opiec59k,Naive KMeans,Success,0.4581742450538008,0.4895393785411651,0.6077243373626636,0.49089727834071306,0.4581742450538008,0.8769114786777212,0.2876769451978408,0.652114499424626,0.1853093257577306,0.28860630560374323
opiec59k,Keyphrase Expansion - concatenated,Success,0.4531412703922249,0.4869822556233901,0.602682514428865,0.4884143518587469,0.4531412703922249,0.8762554430987967,0.22274463083170304,0.5739505025762311,0.13887469598806435,0.22363744075829384
opiec59k,Keyphrase Expansion - average,Success,0.46095105866018743,0.49639445660318954,0.6140772154787103,0.49951216326650266,0.46095105866018743,0.8769477230060355,0.25041217603846694,0.6120075937351684,0.15812708209855098,0.251319614753699
opiec59k,Keyphrase Expansion - weighted_0.1,Success,0.4614717112113849,0.4890826024256127,0.6094856991197461,0.49124489903965785,0.4614717112113849,0.8770715591739339,0.2888930474115422,0.6521676920875662,0.1863107768399109,0.2898246618023431
opiec59k,Keyphrase Expansion - weighted_0.2,Success,0.4621659146129816,0.4947517288232715,0.612227229296821,0.4965439049722252,0.4621659146129816,0.8785825411379942,0.29135931403131393,0.662311412690392,0.18751660569396472,0.29228122710330984
opiec59k,Keyphrase Expansion - weighted_0.3,Success,0.46459562651856995,0.4986509170506753,0.6166504475700907,0.4995025372711408,0.46459562651856995,0.8770940430506406,0.2879376503318678,0.6515031929396571,0.18557501686116618,0.2888683867273248
opiec59k,Keyphrase Expansion - weighted_0.4,Success,0.4597362027073933,0.4866687550015192,0.6067062356890099,0.4890598564475722,0.4597362027073933,0.8772472158812633,0.287348013846283,0.6563294356888663,0.18469619244211,0.2882707582379023
opiec59k,Keyphrase Expansion - weighted_0.5,Success,0.46095105866018743,0.49639445660318954,0.6140772154787103,0.49951216326650266,0.46095105866018743,0.8769477230060355,0.25041217603846694,0.6120075937351684,0.15812708209855098,0.251319614753699
opiec59k,Keyphrase Expansion - weighted_0.6,Success,0.4548767788962166,0.48910566506591524,0.6082525033265673,0.491291752021016,0.4548767788962166,0.8760965240652882,0.2474172505527851,0.611405197305101,0.1557971754991927,0.24831832174210464
opiec59k,Keyphrase Expansion - weighted_0.7,Success,0.4637278722665741,0.500855912981862,0.6177727336605483,0.5023178878093747,0.4637278722665741,0.8776444065694061,0.28830652635879955,0.6448921880523153,0.186433403503035,0.28924755049624246
opiec59k,Keyphrase Expansion - weighted_0.8,Success,0.4595626518569941,0.4878523094691027,0.6125013801572877,0.4912948084547421,0.4595626518569941,0.8764296555863107,0.28624534903183974,0.6501550219914918,0.18428743689836294,0.2871747507882417
opiec59k,Keyphrase Expansion - weighted_0.9,Success,0.4552238805970149,0.4837284488770184,0.6048541974380187,0.4879600018358265,0.4552238805970149,0.8754852308817145,0.24753331834171416,0.5994995699429196,0.15669643769543626,0.2484526394244791
opiec59k,Keyphrase Expansion - weighted_1.0,Success,0.4576535925026033,0.4869214269246003,0.6066577072987,0.489236775445321,0.4576535925026033,0.8770230977615507,0.28701384555665305,0.6494224008036162,0.18498232132273293,0.2879457894569401
opiec59k,LLM Correction,Success,0.4580006942034016,0.4895650525842576,0.6076924353655987,0.49086297749023555,0.4580006942034016,0.8769048415759827,0.2876908999020514,0.6522552334364434,0.1853093257577306,0.28862008594620403
opiec59k,Pairwise Constraints,Failed (Clustering Error)
opiec59k,Pairwise Constraints,Failed (Clustering Error)
opiec59k,Pairwise Constraints,Failed (Clustering Error)
opiec59k,Pairwise Constraints,Success,0.40853870183963903,0.43058120955346746,0.5355150619958301,0.42882863666546434,0.40853870183963903,0.8556025737575745,0.15089435790553,0.3433007475560667,0.09761082384679842,0.152002673413854
reverb45k,Naive KMeans,Success,0.460351892022174,0.5077601457814996,0.5879379070857388,0.5053368809716225,0.460351892022174,0.8273437666311277,0.19565674507345768,0.38350353495679496,0.13292672965393307,0.19742402491052832
reverb45k,Naive KMeans,Success,0.4574596288262232,0.49452544431919004,0.5734478188335249,0.49263055915829507,0.4574596288262232,0.8263969115191324,0.19843431089914587,0.3800822293284605,0.13592180139951535,0.20023665790898698
reverb45k,Keyphrase Expansion - concatenated,Success,0.45336225596529284,0.4998840927738614,0.5809997655490529,0.49659425179572325,0.45336225596529284,0.820675477438997,0.19032589778989362,0.36315470784135634,0.13063958395730663,0.19215442840265123
reverb45k,Keyphrase Expansion - average,Success,0.4593878042901904,0.505485056076771,0.5797934349001348,0.49930959668130803,0.4593878042901904,0.8200424506800534,0.19465129185107452,0.35997099347353156,0.13515941950063987,0.19652790149850546
reverb45k,Keyphrase Expansion - weighted_0.1,Success,0.465413352615088,0.5033186324019844,0.5876642233036482,0.5014856722992906,0.465413352615088,0.8269149302362665,0.20128487186723193,0.3798119964189794,0.1386173659705394,0.20310785741357645
reverb45k,Keyphrase Expansion - weighted_0.2,Success,0.460351892022174,0.5052988469051359,0.5789835266006582,0.4972164647262822,0.460351892022174,0.8251647424594261,0.19789466175050888,0.3833603958864919,0.13499605195088082,0.19967780910189284
reverb45k,Keyphrase Expansion - weighted_0.3,Success,0.4567365630272355,0.5014708078661453,0.5805542269424352,0.4976361269897618,0.4567365630272355,0.8222586634694625,0.18805314507128595,0.3622355105795768,0.1286519454352384,0.18986960278073578
reverb45k,Keyphrase Expansion - weighted_0.4,Success,0.46444926488310434,0.5070254400736933,0.5851420911214763,0.5019736177414331,0.46444926488310434,0.8254343061638305,0.1991256963527195,0.3771745650869826,0.1369564625479892,0.20094680702315082
reverb45k,Keyphrase Expansion - weighted_0.5,Success,0.4593878042901904,0.505485056076771,0.5797934349001348,0.49930959668130803,0.4593878042901904,0.8200424506800534,0.19465129185107452,0.35997099347353156,0.13515941950063987,0.19652790149850546
reverb45k,Keyphrase Expansion - weighted_0.6,Success,0.45456736563027234,0.5025661026009094,0.5783310948740947,0.4981815201575916,0.45456736563027234,0.8198263700955687,0.1875454602089277,0.3521053800044402,0.12955046695891306,0.1894108280254777
reverb45k,Keyphrase Expansion - weighted_0.7,Success,0.45529043142926007,0.49422534623512815,0.5756003697159161,0.49485451327179025,0.45529043142926007,0.8193253646847825,0.19975490966754503,0.3664538345648899,0.13908024069485664,0.20163423202936878
reverb45k,Keyphrase Expansion - weighted_0.8,Success,0.44251626898047725,0.4950813762713574,0.5718960290844314,0.488137365036323,0.44251626898047725,0.81562262557146,0.1761134223594677,0.3367447502084755,0.120946442671604,0.17797187387315197
reverb45k,Keyphrase Expansion - weighted_0.9,Success,0.44661364184140756,0.49487793683502806,0.5757766450125076,0.49225941425742864,0.44661364184140756,0.8161524339144051,0.18241522436632862,0.3563784079368799,0.12421379366678466,0.1842190276207398
reverb45k,Keyphrase Expansion - weighted_1.0,Success,0.42709086526873946,0.47282929101439003,0.5494871992652123,0.4634879324958397,0.42709086526873946,0.8114407294021552,0.1685862564631022,0.3188568017312141,0.11634492335339124,0.17048356208107246
reverb45k,Pairwise Constraints,Failed (Clustering Error)
reverb45k,LLM Correction,Success,0.4574596288262232,0.49444944465202956,0.5727595847691415,0.49273405613510196,0.4574596288262232,0.8263836340669153,0.19792087650195517,0.37936290199664685,0.1355406104500776,0.1997231639551445